scenario,group,alpha,beta_p,beta_w,beta_wp,gamma_p,gamma_w,delta_p,initial_susceptible,initial_infected,initial_worried,initial_recovered,population,p_infected,p_worried,cv,underage,overage,in_sample_seed,out_sample_seed,in_sample,out_sample,model_structure_provenance,behaviour_provenance,rate_parameter_provenance,initial_condition_provenance,service_demand_provenance,uncertainty_provenance,cost_provenance
uncertainty_alpha_2_cv_0.15,uncertainty,2.0,0.74,0.7,0.7,0.07142857142857142,0.07142857142857142,0.004166666666666667,0.98,0.01,0.01,0.0,100000,1.0,0.5,0.15,5.0,1.0,6186,6187,5000,10000,"Singh and Gromov (2025), doi:10.1371/journal.pone.0319550 (four-compartment model structure)",Singh and Gromov (2025) behavioural alpha scenarios,Singh and Gromov (2025) baseline model values adopted for this coursework,Singh and Gromov (2025) baseline initial condition,Coursework modelling assumption (synthetic population and service-seeking rates),Coursework modelling assumption (coefficient-of-variation sensitivity),Coursework modelling assumption (newsvendor cost sensitivity)
uncertainty_alpha_2_cv_0.30,uncertainty,2.0,0.74,0.7,0.7,0.07142857142857142,0.07142857142857142,0.004166666666666667,0.98,0.01,0.01,0.0,100000,1.0,0.5,0.3,5.0,1.0,6186,6187,5000,10000,"Singh and Gromov (2025), doi:10.1371/journal.pone.0319550 (four-compartment model structure)",Singh and Gromov (2025) behavioural alpha scenarios,Singh and Gromov (2025) baseline model values adopted for this coursework,Singh and Gromov (2025) baseline initial condition,Coursework modelling assumption (synthetic population and service-seeking rates),Coursework modelling assumption (coefficient-of-variation sensitivity),Coursework modelling assumption (newsvendor cost sensitivity)
cost_cu_1_co_1,cost,1.0,0.74,0.7,0.7,0.07142857142857142,0.07142857142857142,0.004166666666666667,0.98,0.01,0.01,0.0,100000,1.0,0.5,0.15,1.0,1.0,6186,6187,5000,10000,"Singh and Gromov (2025), doi:10.1371/journal.pone.0319550 (four-compartment model structure)",Singh and Gromov (2025) behavioural alpha scenarios,Singh and Gromov (2025) baseline model values adopted for this coursework,Singh and Gromov (2025) baseline initial condition,Coursework modelling assumption (synthetic population and service-seeking rates),Coursework modelling assumption (coefficient-of-variation sensitivity),Coursework modelling assumption (newsvendor cost sensitivity)
cost_cu_5_co_1,cost,1.0,0.74,0.7,0.7,0.07142857142857142,0.07142857142857142,0.004166666666666667,0.98,0.01,0.01,0.0,100000,1.0,0.5,0.15,5.0,1.0,6186,6187,5000,10000,"Singh and Gromov (2025), doi:10.1371/journal.pone.0319550 (four-compartment model structure)",Singh and Gromov (2025) behavioural alpha scenarios,Singh and Gromov (2025) baseline model values adopted for this coursework,Singh and Gromov (2025) baseline initial condition,Coursework modelling assumption (synthetic population and service-seeking rates),Coursework modelling assumption (coefficient-of-variation sensitivity),Coursework modelling assumption (newsvendor cost sensitivity)
cost_cu_10_co_1,cost,1.0,0.74,0.7,0.7,0.07142857142857142,0.07142857142857142,0.004166666666666667,0.98,0.01,0.01,0.0,100000,1.0,0.5,0.15,10.0,1.0,6186,6187,5000,10000,"Singh and Gromov (2025), doi:10.1371/journal.pone.0319550 (four-compartment model structure)",Singh and Gromov (2025) behavioural alpha scenarios,Singh and Gromov (2025) baseline model values adopted for this coursework,Singh and Gromov (2025) baseline initial condition,Coursework modelling assumption (synthetic population and service-seeking rates),Coursework modelling assumption (coefficient-of-variation sensitivity),Coursework modelling assumption (newsvendor cost sensitivity)
service_pw_0.25,service_seeking,1.0,0.74,0.7,0.7,0.07142857142857142,0.07142857142857142,0.004166666666666667,0.98,0.01,0.01,0.0,100000,1.0,0.25,0.15,5.0,1.0,6186,6187,5000,10000,"Singh and Gromov (2025), doi:10.1371/journal.pone.0319550 (four-compartment model structure)",Singh and Gromov (2025) behavioural alpha scenarios,Singh and Gromov (2025) baseline model values adopted for this coursework,Singh and Gromov (2025) baseline initial condition,Coursework modelling assumption (synthetic population and service-seeking rates),Coursework modelling assumption (coefficient-of-variation sensitivity),Coursework modelling assumption (newsvendor cost sensitivity)
service_pw_0.50,service_seeking,1.0,0.74,0.7,0.7,0.07142857142857142,0.07142857142857142,0.004166666666666667,0.98,0.01,0.01,0.0,100000,1.0,0.5,0.15,5.0,1.0,6186,6187,5000,10000,"Singh and Gromov (2025), doi:10.1371/journal.pone.0319550 (four-compartment model structure)",Singh and Gromov (2025) behavioural alpha scenarios,Singh and Gromov (2025) baseline model values adopted for this coursework,Singh and Gromov (2025) baseline initial condition,Coursework modelling assumption (synthetic population and service-seeking rates),Coursework modelling assumption (coefficient-of-variation sensitivity),Coursework modelling assumption (newsvendor cost sensitivity)
service_pw_0.75,service_seeking,1.0,0.74,0.7,0.7,0.07142857142857142,0.07142857142857142,0.004166666666666667,0.98,0.01,0.01,0.0,100000,1.0,0.75,0.15,5.0,1.0,6186,6187,5000,10000,"Singh and Gromov (2025), doi:10.1371/journal.pone.0319550 (four-compartment model structure)",Singh and Gromov (2025) behavioural alpha scenarios,Singh and Gromov (2025) baseline model values adopted for this coursework,Singh and Gromov (2025) baseline initial condition,Coursework modelling assumption (synthetic population and service-seeking rates),Coursework modelling assumption (coefficient-of-variation sensitivity),Coursework modelling assumption (newsvendor cost sensitivity)
service_pw_1.00,service_seeking,1.0,0.74,0.7,0.7,0.07142857142857142,0.07142857142857142,0.004166666666666667,0.98,0.01,0.01,0.0,100000,1.0,1.0,0.15,5.0,1.0,6186,6187,5000,10000,"Singh and Gromov (2025), doi:10.1371/journal.pone.0319550 (four-compartment model structure)",Singh and Gromov (2025) behavioural alpha scenarios,Singh and Gromov (2025) baseline model values adopted for this coursework,Singh and Gromov (2025) baseline initial condition,Coursework modelling assumption (synthetic population and service-seeking rates),Coursework modelling assumption (coefficient-of-variation sensitivity),Coursework modelling assumption (newsvendor cost sensitivity)
initial_ip_0.010_iw_0.001,initial_condition,1.0,0.74,0.7,0.7,0.07142857142857142,0.07142857142857142,0.004166666666666667,0.989,0.01,0.001,0.0,100000,1.0,0.5,0.15,5.0,1.0,6186,6187,5000,10000,"Singh and Gromov (2025), doi:10.1371/journal.pone.0319550 (four-compartment model structure)",Singh and Gromov (2025) behavioural alpha scenarios,Singh and Gromov (2025) baseline model values adopted for this coursework,Coursework modelling assumption (initial-condition sensitivity),Coursework modelling assumption (synthetic population and service-seeking rates),Coursework modelling assumption (coefficient-of-variation sensitivity),Coursework modelling assumption (newsvendor cost sensitivity)
initial_ip_0.010_iw_0.010,initial_condition,1.0,0.74,0.7,0.7,0.07142857142857142,0.07142857142857142,0.004166666666666667,0.98,0.01,0.01,0.0,100000,1.0,0.5,0.15,5.0,1.0,6186,6187,5000,10000,"Singh and Gromov (2025), doi:10.1371/journal.pone.0319550 (four-compartment model structure)",Singh and Gromov (2025) behavioural alpha scenarios,Singh and Gromov (2025) baseline model values adopted for this coursework,Singh and Gromov (2025) baseline initial condition,Coursework modelling assumption (synthetic population and service-seeking rates),Coursework modelling assumption (coefficient-of-variation sensitivity),Coursework modelling assumption (newsvendor cost sensitivity)
initial_ip_0.001_iw_0.010,initial_condition,1.0,0.74,0.7,0.7,0.07142857142857142,0.07142857142857142,0.004166666666666667,0.989,0.001,0.01,0.0,100000,1.0,0.5,0.15,5.0,1.0,6186,6187,5000,10000,"Singh and Gromov (2025), doi:10.1371/journal.pone.0319550 (four-compartment model structure)",Singh and Gromov (2025) behavioural alpha scenarios,Singh and Gromov (2025) baseline model values adopted for this coursework,Coursework modelling assumption (initial-condition sensitivity),Coursework modelling assumption (synthetic population and service-seeking rates),Coursework modelling assumption (coefficient-of-variation sensitivity),Coursework modelling assumption (newsvendor cost sensitivity)
